Cancer Sites,Age Group ,Sex,Race,Deaths
Pancreas,35-39,Male,Asian or Pacific Islander,84
Pancreas,35-39,Male,Black or African American,314
Pancreas,35-39,Male,White,1497
Pancreas,40-44,Female,American Indian or Alaska Native,24
Pancreas,40-44,Female,Asian or Pacific Islander,136
Pancreas,40-44,Female,Black or African American,646
Pancreas,40-44,Female,White,2518
Pancreas,40-44,Male,American Indian or Alaska Native,47
Pancreas,40-44,Male,Asian or Pacific Islander,175
Pancreas,40-44,Male,Black or African American,837
Pancreas,40-44,Male,White,3939
Pancreas,45-49,Female,American Indian or Alaska Native,59
Pancreas,45-49,Female,Asian or Pacific Islander,285
Pancreas,45-49,Female,Black or African American,1486
Pancreas,45-49,Female,White,6157
Pancreas,45-49,Male,American Indian or Alaska Native,80
Pancreas,45-49,Male,Asian or Pacific Islander,389
Pancreas,45-49,Male,Black or African American,1998
Pancreas,45-49,Male,White,9543
Pancreas,50-54,Female,American Indian or Alaska Native,130
Pancreas,50-54,Female,Asian or Pacific Islander,490
Pancreas,50-54,Female,Black or African American,2999
Pancreas,50-54,Female,White,12368
Pancreas,50-54,Male,American Indian or Alaska Native,151
Pancreas,50-54,Male,Asian or Pacific Islander,674
Pancreas,50-54,Male,Black or African American,3957
Pancreas,50-54,Male,White,19488
Pancreas,55-59,Female,American Indian or Alaska Native,184
Pancreas,55-59,Female,Asian or Pacific Islander,808
Pancreas,55-59,Female,Black or African American,4806
Pancreas,55-59,Female,White,21877
Pancreas,55-59,Male,American Indian or Alaska Native,242
Pancreas,55-59,Male,Asian or Pacific Islander,969
Pancreas,55-59,Male,Black or African American,6263
Pancreas,55-59,Male,White,32611
Pancreas,60-64,Female,American Indian or Alaska Native,273
Pancreas,60-64,Female,Asian or Pacific Islander,1195
Pancreas,60-64,Female,Black or African American,6321
Pancreas,60-64,Female,White,32230
Pancreas,60-64,Male,American Indian or Alaska Native,316
Pancreas,60-64,Male,Asian or Pacific Islander,1321
Pancreas,60-64,Male,Black or African American,7629
Pancreas,60-64,Male,White,45724
Pancreas,65-69,Female,American Indian or Alaska Native,248
Pancreas,65-69,Female,Asian or Pacific Islander,1573
Pancreas,65-69,Female,Black or African American,7349
Pancreas,65-69,Female,White,41640
Pancreas,65-69,Male,American Indian or Alaska Native,314
Pancreas,65-69,Male,Asian or Pacific Islander,1620
Pancreas,65-69,Male,Black or African American,7694
Pancreas,65-69,Male,White,54853
Pancreas,70-74,Female,American Indian or Alaska Native,270
Pancreas,70-74,Female,Asian or Pacific Islander,1840
Pancreas,70-74,Female,Black or African American,7865
Pancreas,70-74,Female,White,50957
Pancreas,70-74,Male,American Indian or Alaska Native,280
Pancreas,70-74,Male,Asian or Pacific Islander,1651
Pancreas,70-74,Male,Black or African American,6984
Pancreas,70-74,Male,White,58620
Pancreas,75-79,Female,American Indian or Alaska Native,250
Pancreas,75-79,Female,Asian or Pacific Islander,2003
Pancreas,75-79,Female,Black or African American,7719
Pancreas,75-79,Female,White,56482
Pancreas,75-79,Male,American Indian or Alaska Native,210
Pancreas,75-79,Male,Asian or Pacific Islander,1628
Pancreas,75-79,Male,Black or African American,5625
Pancreas,75-79,Male,White,56224
Pancreas,80-84,Female,American Indian or Alaska Native,216
Pancreas,80-84,Female,Asian or Pacific Islander,1877
Pancreas,80-84,Female,Black or African American,6805
Pancreas,80-84,Female,White,56057
Pancreas,80-84,Male,American Indian or Alaska Native,149
Pancreas,80-84,Male,Asian or Pacific Islander,1424
Pancreas,80-84,Male,Black or African American,3941
Pancreas,80-84,Male,White,46536
Pancreas,85+,Female,American Indian or Alaska Native,212
Pancreas,85+,Female,Asian or Pacific Islander,2205
Pancreas,85+,Female,Black or African American,8014
Pancreas,85+,Female,White,74097
Pancreas,85+,Male,American Indian or Alaska Native,118
Pancreas,85+,Male,Asian or Pacific Islander,1388
Pancreas,85+,Male,Black or African American,3031
Pancreas,85+,Male,White,42610
Prostate,30-34,Male,White,16
Prostate,35-39,Male,Black or African American,25
Prostate,35-39,Male,White,55
Prostate,40-44,Male,Black or African American,140
Prostate,40-44,Male,White,309
Prostate,45-49,Male,Asian or Pacific Islander,32
Prostate,45-49,Male,Black or African American,629
Prostate,45-49,Male,White,1393
Prostate,50-54,Male,American Indian or Alaska Native,53
Prostate,50-54,Male,Asian or Pacific Islander,91
Prostate,50-54,Male,Black or African American,2165
Prostate,50-54,Male,White,5048
Prostate,55-59,Male,American Indian or Alaska Native,139
Prostate,55-59,Male,Asian or Pacific Islander,243
Prostate,55-59,Male,Black or African American,5154
Prostate,55-59,Male,White,13006
Prostate,60-64,Male,American Indian or Alaska Native,226
Prostate,60-64,Male,Asian or Pacific Islander,591
Prostate,60-64,Male,Black or African American,9652
Prostate,60-64,Male,White,27075
Prostate,65-69,Male,American Indian or Alaska Native,354
Prostate,65-69,Male,Asian or Pacific Islander,955
Prostate,65-69,Male,Black or African American,14019
Prostate,65-69,Male,White,45409
Prostate,70-74,Male,American Indian or Alaska Native,418
Prostate,70-74,Male,Asian or Pacific Islander,1225
Prostate,70-74,Male,Black or African American,17779
Prostate,70-74,Male,White,68628
Prostate,75-79,Male,American Indian or Alaska Native,502
Prostate,75-79,Male,Asian or Pacific Islander,1783
Prostate,75-79,Male,Black or African American,19820
Prostate,75-79,Male,White,94385
Prostate,80-84,Male,American Indian or Alaska Native,521
Prostate,80-84,Male,Asian or Pacific Islander,2049
Prostate,80-84,Male,Black or African American,19660
Prostate,80-84,Male,White,113743
Prostate,85+,Male,American Indian or Alaska Native,620
Prostate,85+,Male,Asian or Pacific Islander,3820
Prostate,85+,Male,Black or African American,25398
Prostate,85+,Male,White,186136
Stomach,15-19,Female,White,31
Stomach,15-19,Male,White,27
Stomach,20-24,Female,Asian or Pacific Islander,26
Stomach,20-24,Female,Black or African American,33
Stomach,20-24,Female,White,122
Stomach,20-24,Male,Asian or Pacific Islander,20
Stomach,20-24,Male,Black or African American,34
Stomach,20-24,Male,White,126
Stomach,25-29,Female,Asian or Pacific Islander,53
Stomach,25-29,Female,Black or African American,95
Stomach,25-29,Female,White,290
Stomach,25-29,Male,Asian or Pacific Islander,45
Stomach,25-29,Male,Black or African American,102
Stomach,25-29,Male,White,349
Stomach,30-34,Female,Asian or Pacific Islander,126
Stomach,30-34,Female,Black or African American,176
Stomach,30-34,Female,White,667
Stomach,30-34,Male,Asian or Pacific Islander,71
Stomach,30-34,Male,Black or African American,203
Stomach,30-34,Male,White,741
Stomach,35-39,Female,American Indian or Alaska Native,28
Stomach,35-39,Female,Asian or Pacific Islander,200
Stomach,35-39,Female,Black or African American,348
Stomach,35-39,Female,White,1163
Stomach,35-39,Male,American Indian or Alaska Native,31
Stomach,35-39,Male,Asian or Pacific Islander,161
Stomach,35-39,Male,Black or African American,355
Stomach,35-39,Male,White,1465
Stomach,40-44,Female,American Indian or Alaska Native,41
Stomach,40-44,Female,Asian or Pacific Islander,305
Stomach,40-44,Female,Black or African American,556
Stomach,40-44,Female,White,1906
Stomach,40-44,Male,American Indian or Alaska Native,41
Stomach,40-44,Male,Asian or Pacific Islander,278
Stomach,40-44,Male,Black or African American,721
Stomach,40-44,Male,White,2534
Stomach,45-49,Female,American Indian or Alaska Native,55
Stomach,45-49,Female,Asian or Pacific Islander,457
Stomach,45-49,Female,Black or African American,795
Stomach,45-49,Female,White,2778
Stomach,45-49,Male,American Indian or Alaska Native,68
Stomach,45-49,Male,Asian or Pacific Islander,427
Stomach,45-49,Male,Black or African American,1277
Stomach,45-49,Male,White,4309
Stomach,50-54,Female,American Indian or Alaska Native,55
Stomach,50-54,Female,Asian or Pacific Islander,533
Stomach,50-54,Female,Black or African American,1116
Stomach,50-54,Female,White,3874
Stomach,50-54,Male,American Indian or Alaska Native,107
Stomach,50-54,Male,Asian or Pacific Islander,624
Stomach,50-54,Male,Black or African American,2159
Stomach,50-54,Male,White,6938
Stomach,55-59,Female,American Indian or Alaska Native,75
Stomach,55-59,Female,Asian or Pacific Islander,650
Stomach,55-59,Female,Black or African American,1441
Stomach,55-59,Female,White,4824
Stomach,55-59,Male,American Indian or Alaska Native,121
Stomach,55-59,Male,Asian or Pacific Islander,836
Stomach,55-59,Male,Black or African American,2741
Stomach,55-59,Male,White,9785
Stomach,60-64,Female,American Indian or Alaska Native,82
Stomach,60-64,Female,Asian or Pacific Islander,702
Stomach,60-64,Female,Black or African American,1589
Stomach,60-64,Female,White,6055
Stomach,60-64,Male,American Indian or Alaska Native,155
Stomach,60-64,Male,Asian or Pacific Islander,1065
Stomach,60-64,Male,Black or African American,3434
Stomach,60-64,Male,White,12461
Stomach,65-69,Female,American Indian or Alaska Native,103
Stomach,65-69,Female,Asian or Pacific Islander,789
Stomach,65-69,Female,Black or African American,1917
Stomach,65-69,Female,White,7372
Stomach,65-69,Male,American Indian or Alaska Native,178
Stomach,65-69,Male,Asian or Pacific Islander,1278
Stomach,65-69,Male,Black or African American,3673
Stomach,65-69,Male,White,14368
Stomach,70-74,Female,American Indian or Alaska Native,108
Stomach,70-74,Female,Asian or Pacific Islander,888
Stomach,70-74,Female,Black or African American,2147
Stomach,70-74,Female,White,9028
Stomach,70-74,Male,American Indian or Alaska Native,177
Stomach,70-74,Male,Asian or Pacific Islander,1305
Stomach,70-74,Male,Black or African American,3770
Stomach,70-74,Male,White,16285
Stomach,75-79,Female,American Indian or Alaska Native,96
Stomach,75-79,Female,Asian or Pacific Islander,978
Stomach,75-79,Female,Black or African American,2484
Stomach,75-79,Female,White,10890
Stomach,75-79,Male,American Indian or Alaska Native,154
Stomach,75-79,Male,Asian or Pacific Islander,1412
Stomach,75-79,Male,Black or African American,3486
Stomach,75-79,Male,White,17072
Stomach,80-84,Female,American Indian or Alaska Native,79
Stomach,80-84,Female,Asian or Pacific Islander,987
Stomach,80-84,Female,Black or African American,2517
Stomach,80-84,Female,White,11955
Stomach,80-84,Male,American Indian or Alaska Native,123
Stomach,80-84,Male,Asian or Pacific Islander,1298
Stomach,80-84,Male,Black or African American,2717
Stomach,80-84,Male,White,15310
Stomach,85+,Female,American Indian or Alaska Native,85
Stomach,85+,Female,Asian or Pacific Islander,1484
Stomach,85+,Female,Black or African American,3828
Stomach,85+,Female,White,19070
Stomach,85+,Male,American Indian or Alaska Native,95
Stomach,85+,Male,Asian or Pacific Islander,1359
Stomach,85+,Male,Black or African American,2537
Stomach,85+,Male,White,16453
Thyroid,20-24,Female,White,21
Thyroid,25-29,Female,White,46
Thyroid,25-29,Male,White,40
Thyroid,30-34,Female,White,64
Thyroid,30-34,Male,White,49
Thyroid,35-39,Female,Black or African American,22
Thyroid,35-39,Female,White,104
Thyroid,35-39,Male,Black or African American,22
Thyroid,35-39,Male,White,123
Thyroid,40-44,Female,Black or African American,46
Thyroid,40-44,Female,White,190
Thyroid,40-44,Male,Black or African American,31
Thyroid,40-44,Male,White,225
Thyroid,45-49,Female,Asian or Pacific Islander,38
Thyroid,45-49,Female,Black or African American,83
Thyroid,45-49,Female,White,398
Thyroid,45-49,Male,Asian or Pacific Islander,20
Thyroid,45-49,Male,Black or African American,56
Thyroid,45-49,Male,White,487
Thyroid,50-54,Female,Asian or Pacific Islander,46
Thyroid,50-54,Female,Black or African American,137
Thyroid,50-54,Female,White,601
Thyroid,50-54,Male,Asian or Pacific Islander,42
Thyroid,50-54,Male,Black or African American,99
Thyroid,50-54,Male,White,839
Thyroid,55-59,Female,Asian or Pacific Islander,94
Thyroid,55-59,Female,Black or African American,191
Thyroid,55-59,Female,White,1088
Thyroid,55-59,Male,Asian or Pacific Islander,59
Thyroid,55-59,Male,Black or African American,135
Thyroid,55-59,Male,White,1184
Thyroid,60-64,Female,Asian or Pacific Islander,110
Thyroid,60-64,Female,Black or African American,267
Thyroid,60-64,Female,White,1494
Thyroid,60-64,Male,Asian or Pacific Islander,81
Thyroid,60-64,Male,Black or African American,181
Thyroid,60-64,Male,White,1682
Thyroid,65-69,Female,Asian or Pacific Islander,153
Thyroid,65-69,Female,Black or African American,295
Thyroid,65-69,Female,White,1855
Thyroid,65-69,Male,Asian or Pacific Islander,92
Thyroid,65-69,Male,Black or African American,161
Thyroid,65-69,Male,White,2052
Thyroid,70-74,Female,American Indian or Alaska Native,21
Thyroid,70-74,Female,Asian or Pacific Islander,168
Thyroid,70-74,Female,Black or African American,336
Thyroid,70-74,Female,White,2280
Thyroid,70-74,Male,Asian or Pacific Islander,115
Thyroid,70-74,Male,Black or African American,143
Thyroid,70-74,Male,White,2212
Thyroid,75-79,Female,Asian or Pacific Islander,195
Thyroid,75-79,Female,Black or African American,304
Thyroid,75-79,Female,White,2724
Thyroid,75-79,Male,Asian or Pacific Islander,104
Thyroid,75-79,Male,Black or African American,147
Thyroid,75-79,Male,White,2195
Thyroid,80-84,Female,Asian or Pacific Islander,190
Thyroid,80-84,Female,Black or African American,313
Thyroid,80-84,Female,White,2797
Thyroid,80-84,Male,Asian or Pacific Islander,78
Thyroid,80-84,Male,Black or African American,104
Thyroid,80-84,Male,White,1962
Thyroid,85+,Female,Asian or Pacific Islander,219
Thyroid,85+,Female,Black or African American,391
Thyroid,85+,Female,White,4263
Thyroid,85+,Male,Asian or Pacific Islander,84
Thyroid,85+,Male,Black or African American,89
Thyroid,85+,Male,White,1968
Urinary Bladder,20-24,Male,White,19
Urinary Bladder,25-29,Female,White,33
Urinary Bladder,25-29,Male,White,29
Urinary Bladder,30-34,Female,White,64
Urinary Bladder,30-34,Male,Black or African American,19
Urinary Bladder,30-34,Male,White,105
Urinary Bladder,35-39,Female,Black or African American,54
Urinary Bladder,35-39,Female,White,205
Urinary Bladder,35-39,Male,Black or African American,49
Urinary Bladder,35-39,Male,White,280
Urinary Bladder,40-44,Female,Asian or Pacific Islander,17
Urinary Bladder,40-44,Female,Black or African American,97
Urinary Bladder,40-44,Female,White,440
Urinary Bladder,40-44,Male,Asian or Pacific Islander,22
Urinary Bladder,40-44,Male,Black or African American,149
Urinary Bladder,40-44,Male,White,748
Urinary Bladder,45-49,Female,Asian or Pacific Islander,19
Urinary Bladder,45-49,Female,Black or African American,222
Urinary Bladder,45-49,Female,White,924
Urinary Bladder,45-49,Male,Asian or Pacific Islander,44
Urinary Bladder,45-49,Male,Black or African American,315
Urinary Bladder,45-49,Male,White,2145
Urinary Bladder,50-54,Female,American Indian or Alaska Native,23
Urinary Bladder,50-54,Female,Asian or Pacific Islander,37
Urinary Bladder,50-54,Female,Black or African American,389
Urinary Bladder,50-54,Female,White,1707
Urinary Bladder,50-54,Male,American Indian or Alaska Native,32
Urinary Bladder,50-54,Male,Asian or Pacific Islander,80
Urinary Bladder,50-54,Male,Black or African American,661
Urinary Bladder,50-54,Male,White,4721
Urinary Bladder,55-59,Female,American Indian or Alaska Native,17
Urinary Bladder,55-59,Female,Asian or Pacific Islander,52
Urinary Bladder,55-59,Female,Black or African American,658
Urinary Bladder,55-59,Female,White,2963
Urinary Bladder,55-59,Male,American Indian or Alaska Native,44
Urinary Bladder,55-59,Male,Asian or Pacific Islander,146
Urinary Bladder,55-59,Male,Black or African American,1069
Urinary Bladder,55-59,Male,White,9501
Urinary Bladder,60-64,Female,American Indian or Alaska Native,31
Urinary Bladder,60-64,Female,Asian or Pacific Islander,105
Urinary Bladder,60-64,Female,Black or African American,785
Urinary Bladder,60-64,Female,White,4629
Urinary Bladder,60-64,Male,American Indian or Alaska Native,81
Urinary Bladder,60-64,Male,Asian or Pacific Islander,216
Urinary Bladder,60-64,Male,Black or African American,1487
Urinary Bladder,60-64,Male,White,15385
Urinary Bladder,65-69,Female,American Indian or Alaska Native,32
Urinary Bladder,65-69,Female,Asian or Pacific Islander,114
Urinary Bladder,65-69,Female,Black or African American,1056
Urinary Bladder,65-69,Female,White,6564
Urinary Bladder,65-69,Male,American Indian or Alaska Native,92
Urinary Bladder,65-69,Male,Asian or Pacific Islander,340
Urinary Bladder,65-69,Male,Black or African American,1781
Urinary Bladder,65-69,Male,White,21634
Urinary Bladder,70-74,Female,American Indian or Alaska Native,44
Urinary Bladder,70-74,Female,Asian or Pacific Islander,168
Urinary Bladder,70-74,Female,Black or African American,1373
Urinary Bladder,70-74,Female,White,9553
Urinary Bladder,70-74,Male,American Indian or Alaska Native,97
Urinary Bladder,70-74,Male,Asian or Pacific Islander,429
Urinary Bladder,70-74,Male,Black or African American,2019
Urinary Bladder,70-74,Male,White,28695
Urinary Bladder,75-79,Female,American Indian or Alaska Native,46
Urinary Bladder,75-79,Female,Asian or Pacific Islander,226
Urinary Bladder,75-79,Female,Black or African American,1540
Urinary Bladder,75-79,Female,White,12776
Urinary Bladder,75-79,Male,American Indian or Alaska Native,86
Urinary Bladder,75-79,Male,Asian or Pacific Islander,574
Urinary Bladder,75-79,Male,Black or African American,2153
Urinary Bladder,75-79,Male,White,35811
Urinary Bladder,80-84,Female,American Indian or Alaska Native,50
Urinary Bladder,80-84,Female,Asian or Pacific Islander,255
Urinary Bladder,80-84,Female,Black or African American,1606
Urinary Bladder,80-84,Female,White,15992
Urinary Bladder,80-84,Male,American Indian or Alaska Native,92
Urinary Bladder,80-84,Male,Asian or Pacific Islander,615
Urinary Bladder,80-84,Male,Black or African American,2023
Urinary Bladder,80-84,Male,White,40152
Urinary Bladder,85+,Female,American Indian or Alaska Native,57
Urinary Bladder,85+,Female,Asian or Pacific Islander,544
Urinary Bladder,85+,Female,Black or African American,2884
Urinary Bladder,85+,Female,White,30726
Urinary Bladder,85+,Male,American Indian or Alaska Native,117
Urinary Bladder,85+,Male,Asian or Pacific Islander,914
Urinary Bladder,85+,Male,Black or African American,2520
Urinary Bladder,85+,Male,White,59419
