Cancer Sites,Age Group ,Sex,Race,Deaths
Colon and Rectum,40-44,Male,American Indian or Alaska Native,98
Colon and Rectum,40-44,Male,Asian or Pacific Islander,494
Colon and Rectum,40-44,Male,Black or African American,2079
Colon and Rectum,40-44,Male,White,8675
Colon and Rectum,45-49,Female,American Indian or Alaska Native,142
Colon and Rectum,45-49,Female,Asian or Pacific Islander,776
Colon and Rectum,45-49,Female,Black or African American,3510
Colon and Rectum,45-49,Female,White,13175
Colon and Rectum,45-49,Male,American Indian or Alaska Native,198
Colon and Rectum,45-49,Male,Asian or Pacific Islander,833
Colon and Rectum,45-49,Male,Black or African American,4157
Colon and Rectum,45-49,Male,White,17226
Colon and Rectum,50-54,Female,American Indian or Alaska Native,262
Colon and Rectum,50-54,Female,Asian or Pacific Islander,1135
Colon and Rectum,50-54,Female,Black or African American,5555
Colon and Rectum,50-54,Female,White,21224
Colon and Rectum,50-54,Male,American Indian or Alaska Native,311
Colon and Rectum,50-54,Male,Asian or Pacific Islander,1210
Colon and Rectum,50-54,Male,Black or African American,6801
Colon and Rectum,50-54,Male,White,29859
Colon and Rectum,55-59,Female,American Indian or Alaska Native,289
Colon and Rectum,55-59,Female,Asian or Pacific Islander,1334
Colon and Rectum,55-59,Female,Black or African American,7267
Colon and Rectum,55-59,Female,White,29194
Colon and Rectum,55-59,Male,American Indian or Alaska Native,442
Colon and Rectum,55-59,Male,Asian or Pacific Islander,1632
Colon and Rectum,55-59,Male,Black or African American,9370
Colon and Rectum,55-59,Male,White,43369
Colon and Rectum,60-64,Female,American Indian or Alaska Native,341
Colon and Rectum,60-64,Female,Asian or Pacific Islander,1471
Colon and Rectum,60-64,Female,Black or African American,8370
Colon and Rectum,60-64,Female,White,37150
Colon and Rectum,60-64,Male,American Indian or Alaska Native,507
Colon and Rectum,60-64,Male,Asian or Pacific Islander,2074
Colon and Rectum,60-64,Male,Black or African American,11004
Colon and Rectum,60-64,Male,White,56561
Colon and Rectum,65-69,Female,American Indian or Alaska Native,341
Colon and Rectum,65-69,Female,Asian or Pacific Islander,1572
Colon and Rectum,65-69,Female,Black or African American,8888
Colon and Rectum,65-69,Female,White,45010
Colon and Rectum,65-69,Male,American Indian or Alaska Native,508
Colon and Rectum,65-69,Male,Asian or Pacific Islander,2144
Colon and Rectum,65-69,Male,Black or African American,11253
Colon and Rectum,65-69,Male,White,65593
Colon and Rectum,70-74,Female,American Indian or Alaska Native,387
Colon and Rectum,70-74,Female,Asian or Pacific Islander,1747
Colon and Rectum,70-74,Female,Black or African American,9164
Colon and Rectum,70-74,Female,White,54675
Colon and Rectum,70-74,Male,American Indian or Alaska Native,446
Colon and Rectum,70-74,Male,Asian or Pacific Islander,2070
Colon and Rectum,70-74,Male,Black or African American,10390
Colon and Rectum,70-74,Male,White,72190
Colon and Rectum,75-79,Female,American Indian or Alaska Native,393
Colon and Rectum,75-79,Female,Asian or Pacific Islander,1787
Colon and Rectum,75-79,Female,Black or African American,9483
Colon and Rectum,75-79,Female,White,66507
Colon and Rectum,75-79,Male,American Indian or Alaska Native,386
Colon and Rectum,75-79,Male,Asian or Pacific Islander,2088
Colon and Rectum,75-79,Male,Black or African American,9285
Colon and Rectum,75-79,Male,White,75323
Colon and Rectum,80-84,Female,American Indian or Alaska Native,330
Colon and Rectum,80-84,Female,Asian or Pacific Islander,1935
Colon and Rectum,80-84,Female,Black or African American,9177
Colon and Rectum,80-84,Female,White,76375
Colon and Rectum,80-84,Male,American Indian or Alaska Native,303
Colon and Rectum,80-84,Male,Asian or Pacific Islander,1848
Colon and Rectum,80-84,Male,Black or African American,7481
Colon and Rectum,80-84,Male,White,70692
Colon and Rectum,85+,Female,American Indian or Alaska Native,392
Colon and Rectum,85+,Female,Asian or Pacific Islander,3200
Colon and Rectum,85+,Female,Black or African American,13588
Colon and Rectum,85+,Female,White,139522
Colon and Rectum,85+,Male,American Indian or Alaska Native,286
Colon and Rectum,85+,Male,Asian or Pacific Islander,2243
Colon and Rectum,85+,Male,Black or African American,7310
Colon and Rectum,85+,Male,White,83507
Corpus Uteri,20-24,Female,White,16
Corpus Uteri,25-29,Female,White,63
Corpus Uteri,30-34,Female,Asian or Pacific Islander,19
Corpus Uteri,30-34,Female,Black or African American,33
Corpus Uteri,30-34,Female,White,192
Corpus Uteri,35-39,Female,Asian or Pacific Islander,46
Corpus Uteri,35-39,Female,Black or African American,85
Corpus Uteri,35-39,Female,White,431
Corpus Uteri,40-44,Female,Asian or Pacific Islander,77
Corpus Uteri,40-44,Female,Black or African American,158
Corpus Uteri,40-44,Female,White,870
Corpus Uteri,45-49,Female,American Indian or Alaska Native,27
Corpus Uteri,45-49,Female,Asian or Pacific Islander,151
Corpus Uteri,45-49,Female,Black or African American,299
Corpus Uteri,45-49,Female,White,1703
Corpus Uteri,50-54,Female,American Indian or Alaska Native,34
Corpus Uteri,50-54,Female,Asian or Pacific Islander,241
Corpus Uteri,50-54,Female,Black or African American,610
Corpus Uteri,50-54,Female,White,3342
Corpus Uteri,55-59,Female,American Indian or Alaska Native,37
Corpus Uteri,55-59,Female,Asian or Pacific Islander,376
Corpus Uteri,55-59,Female,Black or African American,1358
Corpus Uteri,55-59,Female,White,6268
Corpus Uteri,60-64,Female,American Indian or Alaska Native,67
Corpus Uteri,60-64,Female,Asian or Pacific Islander,459
Corpus Uteri,60-64,Female,Black or African American,2832
Corpus Uteri,60-64,Female,White,9737
Corpus Uteri,65-69,Female,American Indian or Alaska Native,70
Corpus Uteri,65-69,Female,Asian or Pacific Islander,464
Corpus Uteri,65-69,Female,Black or African American,3426
Corpus Uteri,65-69,Female,White,11972
Corpus Uteri,70-74,Female,American Indian or Alaska Native,69
Corpus Uteri,70-74,Female,Asian or Pacific Islander,359
Corpus Uteri,70-74,Female,Black or African American,2867
Corpus Uteri,70-74,Female,White,12448
Corpus Uteri,75-79,Female,American Indian or Alaska Native,37
Corpus Uteri,75-79,Female,Asian or Pacific Islander,285
Corpus Uteri,75-79,Female,Black or African American,2232
Corpus Uteri,75-79,Female,White,11137
Corpus Uteri,80-84,Female,American Indian or Alaska Native,37
Corpus Uteri,80-84,Female,Asian or Pacific Islander,199
Corpus Uteri,80-84,Female,Black or African American,1443
Corpus Uteri,80-84,Female,White,9524
Corpus Uteri,85+,Female,American Indian or Alaska Native,23
Corpus Uteri,85+,Female,Asian or Pacific Islander,198
Corpus Uteri,85+,Female,Black or African American,1314
Corpus Uteri,85+,Female,White,11164
Esophagus,20-24,Male,White,55
Esophagus,25-29,Female,White,41
Esophagus,25-29,Male,Black or African American,17
Esophagus,25-29,Male,White,171
Esophagus,30-34,Female,Black or African American,16
Esophagus,30-34,Female,White,79
Esophagus,30-34,Male,Black or African American,28
Esophagus,30-34,Male,White,401
Esophagus,35-39,Female,Black or African American,44
Esophagus,35-39,Female,White,194
Esophagus,35-39,Male,Asian or Pacific Islander,27
Esophagus,35-39,Male,Black or African American,108
Esophagus,35-39,Male,White,1143
Esophagus,40-44,Female,Black or African American,158
Esophagus,40-44,Female,White,473
Esophagus,40-44,Male,American Indian or Alaska Native,29
Esophagus,40-44,Male,Asian or Pacific Islander,66
Esophagus,40-44,Male,Black or African American,428
Esophagus,40-44,Male,White,3070
